"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL"
142.227197353494,-3.20569620417135,0.29499786238564,-10.866845536598,1.65835759539908e-27,4.83681420914263e-25,"ENSG00000163884"
154.63406240929,-4.82076228215385,0.444300228261988,-10.8502358889432,1.98911333033028e-27,5.73704486985705e-25,"ENSG00000149124"
37.3277834080578,3.92549730404082,0.362006412968256,10.8437231038364,2.13597592356752e-27,6.09293000263358e-25,"ENSG00000125869"
790.539848590686,-4.83580932538922,0.447306538272559,-10.8109515771098,3.05484606123253e-27,8.52663376962087e-25,"ENSG00000138207"
602.623639522868,-1.80301173291996,0.166762800846574,-10.8118340767062,3.02559530163648e-27,8.52663376962087e-25,"ENSG00000182463"
952.295753493671,-2.54367371286579,0.23545687246758,-10.8031406609974,3.32627485702541e-27,9.18547263177294e-25,"ENSG00000154736"
587.737308998655,-3.10754426616009,0.28778181171503,-10.7982650037566,3.50768941526494e-27,9.58448440436288e-25,"ENSG00000186205"
75.110252427186,-2.67225944753712,0.24763756380082,-10.7910100815176,3.79594277881633e-27,1.02640711096369e-24,"ENSG00000182782"
903.898987459776,-0.894810851655992,0.0829328949385739,-10.7895769503615,3.85560271005798e-27,1.03179108399675e-24,"ENSG00000012822"
602.772689817328,1.95877155006668,0.181580178872173,10.7873643601023,3.94954156098421e-27,1.04614489632682e-24,"ENSG00000185842"
442.30522980826,0.870463241726351,0.0809395002958534,10.7544924115493,5.64439124503414e-27,1.47997078725855e-24,"ENSG00000181450"
327.414440654988,-1.87034402681788,0.174225122982238,-10.7352142722181,6.95574190589864e-27,1.80557148393317e-24,"ENSG00000101955"
228.889129240104,-3.50598296894795,0.327177833935938,-10.7158328141338,8.57817070085927e-27,2.20467480250401e-24,"ENSG00000164638"
160.618218832164,-3.53682647767371,0.330297889558065,-10.7079899372228,9.3366994665883e-27,2.37609847797744e-24,"ENSG00000182851"
1541.79745720272,-3.81860424535736,0.356869943916466,-10.7002685724949,1.01483646024602e-26,2.55758493544333e-24,"ENSG00000101938"
321.07398621356,-2.35914838582521,0.221028193854071,-10.6735179104924,1.35400930268638e-26,3.37955514222433e-24,"ENSG00000136732"
1618.52638440158,-3.37420767962653,0.316269378899477,-10.6687776457138,1.4248846232253e-26,3.52258619520785e-24,"ENSG00000211445"
642.133939382851,-3.30786931243462,0.31056464142405,-10.6511459168914,1.72231705122336e-26,4.21772698260906e-24,"ENSG00000132170"
42.8347904771032,-2.83636555577736,0.266427157270033,-10.645932587505,1.82151059467543e-26,4.41895065575559e-24,"ENSG00000270953"
198.409748652111,-4.07507603056492,0.382977963511795,-10.6404974145188,1.93095731202249e-26,4.64109165791479e-24,"ENSG00000084674"
209.515870036977,-2.35764799514532,0.221607771003634,-10.6388326748102,1.9657659881679e-26,4.68140857989563e-24,"ENSG00000177098"
268.700444101039,-1.80570041884021,0.169996843999037,-10.6219643633528,2.35551348028451e-26,5.5585835382932e-24,"ENSG00000090776"
1240.76880525213,-1.80701975572465,0.170198361463322,-10.6171395552129,2.48045659368787e-26,5.80069299630178e-24,"ENSG00000107104"
416.067793119928,-2.99996967922448,0.282583216767086,-10.6162344443023,2.5046167698229e-26,5.80489661705918e-24,"ENSG00000196139"
405.22096251443,-4.26730502532631,0.402003781078501,-10.6150867881838,2.53558691680478e-26,5.82466948552375e-24,"ENSG00000134962"
258.733989251232,-3.85100286076957,0.362989247732514,-10.6091375566236,2.70231851872184e-26,6.15322667622646e-24,"ENSG00000144908"
1406.06399303341,-2.090969866882,0.197168164085727,-10.6050075405321,2.82441207345483e-26,6.37531205241222e-24,"ENSG00000171914"
121.123441740122,-2.43420418004548,0.229673270018892,-10.5985523689598,3.02628268744403e-26,6.77209017247175e-24,"ENSG00000146966"
407.57607169078,-2.20143519912292,0.207795362627512,-10.5942460471033,3.16884128198235e-26,7.03049418783742e-24,"ENSG00000152580"
1160.67477277008,1.51330312163278,0.142962473608754,10.58531713556,3.48598266164972e-26,7.66857101111045e-24,"ENSG00000106537"
208.338551883052,-2.46046490252277,0.232640895604415,-10.5762355158165,3.84081346249668e-26,8.33271547550687e-24,"ENSG00000137727"
166.618972439205,-3.10613571987925,0.293697736569261,-10.5759607008301,3.85209129001011e-26,8.33271547550687e-24,"ENSG00000168874"
629.05777097069,-3.66309798040133,0.34639084447629,-10.5750427264889,3.89000151520181e-26,8.34517845715773e-24,"ENSG00000133800"
282.758769889201,-2.85692932819787,0.270474344399377,-10.5626629192578,4.4388758815269e-26,9.44461804366191e-24,"ENSG00000173267"
1646.86107390923,-2.8490814907829,0.270090630291691,-10.5486128404601,5.15525649480725e-26,1.08796868367648e-23,"ENSG00000165507"
84.5576110120483,5.06408991224882,0.480959706905247,10.5291354754724,6.34141952399329e-26,1.32750458067595e-23,"ENSG00000137745"
2766.56161893202,-2.70548393871996,0.257162490860029,-10.5205231512263,6.94866825837157e-26,1.44298824520647e-23,"ENSG00000174804"
864.531355789379,-3.05409314800211,0.290406135187066,-10.5166275018082,7.24195106115246e-26,1.49195687020155e-23,"ENSG00000010319"
1343.63179873265,-1.22365661123533,0.116414741121272,-10.5111826857101,7.6725254883979e-26,1.56821587895931e-23,"ENSG00000152492"
