GO_ID,Python_Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,Python_FDR,R_Name,R_Adjusted_P
GO:0002028,regulation of sodium ion transport,BP,e,21,3765,58,20413,0.0017648025650069,0.0344577744827624,regulation of sodium ion transport,0.0060495430444493
GO:0009308,amine metabolic process,BP,e,21,3765,58,20413,0.0017648025650069,0.0344577744827624,amine metabolic process,0.0058012733001656
GO:0030534,adult behavior,BP,e,21,3765,58,20413,0.0017648025650069,0.0344577744827624,adult behavior,0.0029910075657137
GO:1901681,sulfur compound binding,MF,e,58,3765,214,20413,0.0018175619572696,0.0353054949671354,sulfur compound binding,0.0025421091556436
GO:0045833,negative regulation of lipid metabolic process,BP,e,28,3765,86,20413,0.0018473422200405,0.0358160682263869,negative regulation of lipid metabolic process,0.0413279597282747
GO:1901655,cellular response to ketone,BP,e,28,3765,86,20413,0.0018473422200405,0.0358160682263869,cellular response to ketone,0.0344111977137922
GO:0005261,monoatomic cation channel activity,MF,e,76,3765,295,20413,0.001850062410686,0.0358349045200272,monoatomic cation channel activity,0.0063424011939911
GO:0001523,retinoid metabolic process,BP,e,24,3765,71,20413,0.0018671575821491,0.0361318794437987,retinoid metabolic process,0.0077304350522682
GO:0022617,extracellular matrix disassembly,BP,e,16,3765,41,20413,0.0018746783158468,0.0362431912515567,extracellular matrix disassembly,0.0030956774318065
GO:0042327,positive regulation of phosphorylation,BP,e,61,3765,228,20413,0.0018964096297232,0.0365942773464393,positive regulation of phosphorylation,8.62317194388198e-05
GO:0030315,T-tubule,CC,e,19,3765,52,20413,0.0018949819622943,0.0365942773464393,T-tubule,0.0006479755741599
GO:0001755,neural crest cell migration,BP,e,11,3765,24,20413,0.0019232509759507,0.0370424645208262,neural crest cell migration,0.0152862363107772
GO:0090497,mesenchymal cell migration,BP,e,11,3765,24,20413,0.0019232509759507,0.0370424645208262,mesenchymal cell migration,0.0045981938046014
