"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL"
"ENSG00000033170",707.269571361172,1.09066148889975,0.159829537354537,6.823904435639,8.85988320919385e-12,1.70992452300561e-10,"2530","FUT8"
"ENSG00000034971",87.176092334722,-4.78365765715691,0.557048320681185,-8.58750934085436,8.88748987270073e-18,4.76655913461912e-16,"4653","MYOC"
"ENSG00000035499",23.4404959622174,1.68247454759867,0.271353435206925,6.20030679293106,5.63532013089901e-10,7.66675261833735e-09,"55789","DEPDC1B"
"ENSG00000035664",216.754605474912,-1.05672200690494,0.133810086468806,-7.89717752070418,2.8528991283752e-15,1.01724664250499e-13,"23604","DAPK2"
"ENSG00000037280",210.14720263531,-1.20875819934434,0.171208788193632,-7.06014108327937,1.66333638334661e-12,3.61615459287364e-11,"2324","FLT4"
"ENSG00000038295",134.186916461809,-1.13992475591628,0.213494139764083,-5.33937258032436,9.32687937516898e-08,8.17101366252569e-07,"7092","TLL1"
"ENSG00000038427",5356.71943090544,1.34748859274389,0.248434666748383,5.42391531093622,5.83075155970681e-08,5.32938904883343e-07,"1462","VCAN"
"ENSG00000039068",1983.49522385318,1.69910729918957,0.381113883575299,4.45826660327862,8.26250970530471e-06,4.74929643335473e-05,"999","CDH1"
"ENSG00000039139",543.095723320363,1.54197233912704,0.273377084052081,5.6404593840546,1.6959707209884e-08,1.73801847514476e-07,"1767","DNAH5"
"ENSG00000039537",98.3570910695636,-1.73067985918017,0.386830929425978,-4.47399555601291,7.67713379230326e-06,4.44530535312532e-05,"729","C6"
"ENSG00000041353",917.339553025592,1.91257656864991,0.33972797634744,5.6297293770529,1.8049259212741e-08,1.83878599153976e-07,"5874","RAB27B"
"ENSG00000041982",2359.96660280309,1.32831737989525,0.284524458817797,4.66855252238918,3.03329237178424e-06,1.92185021690933e-05,"3371","TNC"
"ENSG00000042286",336.084401871505,-2.07026898536372,0.217807963896453,-9.50501968949094,2.00010171597036e-21,1.80273056747079e-19,"84883","AIFM2"
"ENSG00000042445",1489.67722885224,-2.01265786015422,0.224690445594838,-8.95746970827344,3.32213952625904e-19,2.2111819954521e-17,"54884","RETSAT"
"ENSG00000042493",411.863189656074,1.13117687193554,0.183894552444597,6.15122556322782,7.68864770827429e-10,1.02192481931072e-08,"822","CAPG"
"ENSG00000043355",5.92672049767822,1.00612623370019,0.418386483478565,2.40477709828247,0.0161823327771021,0.0380696931509894,"7546","ZIC2"
"ENSG00000043591",46.7955289453863,-2.06800769506022,0.331207983392478,-6.24383408237372,4.26972910702903e-10,5.94282188526861e-09,"153","ADRB1"
"ENSG00000046653",167.42025309344,-1.32515335738083,0.249963164057879,-5.30139455697554,1.14921416442338e-07,9.88446033137912e-07,"2824","GPM6B"
"ENSG00000046889",891.949128177053,-2.24882401381036,0.235962120300325,-9.53044501781953,1.56610424999949e-21,1.45189050433881e-19,"80243","PREX2"
