GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0042127,regulation of cell population proliferation,BP,e,341,3765,1264,20413,1.2064261747106766e-14,2.8417576549822866e-12
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",BP,p,4,3765,220,20413,1.329535154851921e-14,3.06136673352589e-12
GO:0000398,"mRNA splicing, via spliceosome",BP,p,4,3765,220,20413,1.329535154851921e-14,3.06136673352589e-12
GO:0009897,external side of plasma membrane,CC,e,126,3765,354,20413,1.3796928375724922e-14,3.1415605911525648e-12
GO:0007167,enzyme-linked receptor protein signaling pathway,BP,e,166,3765,512,20413,1.730141822917112e-14,3.8962413601143275e-12
GO:2000145,regulation of cell motility,BP,e,257,3765,895,20413,2.1555427292259e-14,4.801471429350692e-12
GO:0009719,response to endogenous stimulus,BP,e,225,3765,762,20413,3.331998045028527e-14,7.342218917932215e-12
GO:0140101,"catalytic activity, acting on a tRNA",MF,p,0,3765,155,20413,3.4306919073454e-14,7.479273325237158e-12
GO:0005201,extracellular matrix structural constituent,MF,e,74,3765,170,20413,3.5118726946179916e-14,7.575663908505947e-12
GO:0005730,nucleolus,CC,p,75,3765,822,20413,4.5063534382472344e-14,9.619656355208393e-12
GO:0030054,cell junction,CC,e,463,3765,1837,20413,4.998590959933477e-14,1.0560425210506882e-11
GO:0048731,system development,BP,e,193,3765,631,20413,7.210885418641178e-14,1.507884437594017e-11
GO:0051649,establishment of localization in cell,BP,p,155,3765,1372,20413,1.1464140981940136e-13,2.3730771832616082e-11
GO:0006325,chromatin organization,BP,p,61,3765,707,20413,1.1953516490897986e-13,2.449634134479724e-11
GO:0009725,response to hormone,BP,e,167,3765,527,20413,1.601728754934159e-13,3.249923502461952e-11
GO:0051641,cellular localization,BP,p,168,3765,1450,20413,2.2116837133393686e-13,4.443532778182714e-11
GO:0006401,RNA catabolic process,BP,p,5,3765,214,20413,4.654343240949542e-13,9.260335537551355e-11
GO:0034330,cell junction organization,BP,e,135,3765,405,20413,4.805378523757276e-13,9.468905969938256e-11
GO:1901700,response to oxygen-containing compound,BP,e,306,3765,1138,20413,6.138976738118965e-13,1.198152859945447e-10
GO:0044391,ribosomal subunit,CC,p,2,3765,172,20413,6.465580092787599e-13,1.2499918192593987e-10
GO:0016477,cell migration,BP,e,195,3765,654,20413,6.799925659754695e-13,1.3023446406107753e-10
GO:0007154,cell communication,BP,e,160,3765,510,20413,9.835584173796356e-13,1.8663020969778585e-10
GO:0033365,protein localization to organelle,BP,p,44,3765,557,20413,1.2029735637894135e-12,2.261700664471234e-10
GO:0051169,nuclear transport,BP,p,5,3765,206,20413,1.5049617910649468e-12,2.803743816753996e-10
GO:0030198,extracellular matrix organization,BP,e,82,3765,209,20413,1.9539407995158333e-12,3.60739718959261e-10
GO:0043632,modification-dependent macromolecule catabolic process,BP,p,45,3765,562,20413,2.1516866505798162e-12,3.937010225922516e-10
